9447	26	5030
4886	127	13680
7374	172	13062
11436	75	7445
12510	61	4746
3015	0	2119
8641	4	6183
7176	89	6375
10178	94	8049
8217	201	1331
9209	209	13230
720	197	14326
11794	112	9492
5842	190	715
10629	104	14926
125	94	11402
5590	231	10655
12260	4	5262
2488	91	5590
5767	94	9190
7060	89	1866
1477	9	12783
12890	55	819
11866	54	1650
10814	139	8165
18	211	4043
4161	139	10447
2787	175	9675
1609	190	715
7745	47	4207
9766	28	5590
14819	9	5011
4020	18	8269
22	198	5305
6798	131	842
11082	190	5330
7645	89	8443
12041	200	5590
8459	4	12711
4897	223	2331
8297	40	14104
14490	200	5590
5244	94	7113
1631	54	1566
7928	140	1478
8138	75	11439
6589	79	5981
10733	185	3325
8593	223	8645
7818	124	3325
2832	210	3625
8542	202	173
6496	154	4144
9410	5	12531
4064	4	9732
3905	8	9332
3533	75	12250
3622	4	14265
11899	18	8269
9333	40	10959
12446	94	12950
2787	175	11765
83	61	7555
4646	200	5241
7280	18	8269
13941	227	4166
2468	116	2344
881	62	582
14859	175	10982
8569	197	14326
6433	9	7348
7	75	2245
5975	18	8269
3805	140	8785
5483	18	8269
5358	201	6713
2241	71	13088
1653	25	4153
5734	192	14890
12007	140	12183
8895	197	14326
12068	28	4851
14928	147	14898
7706	31	1870
7733	190	5590
11407	18	8269
9667	190	10980
7245	104	733
1304	143	10980
9875	140	10861
1550	156	9943
7026	4	7245
6851	175	10661
14254	25	1711
1726	64	3003
4352	140	7808
142	17	733
9031	94	5263
9565	54	10945
9078	200	3457
1903	198	11330
10640	137	4961
2204	199	10678
3493	40	3672
8190	144	5950
4167	127	8322
4078	53	11300
12557	89	8662
2651	116	5358
8806	137	4697
9425	190	9163
13139	4	9981
10683	172	6453
760	216	760
6417	47	8935
11231	224	12126
8403	62	6432
1441	9	6872
13215	129	600
3068	5	4505
888	99	8603
12027	7	3325
13517	101	6800
5099	111	14214
14142	5	14242
12366	5	9894
8436	9	6872
14015	209	3155
4842	190	13985
13694	59	10351
52	0	2119
2204	5	9265
6185	89	9545
6619	9	294
1095	34	14092
6067	80	3877
4285	184	14458
1250	197	14326
11649	5	282
8225	94	3921
8340	94	875
133	140	7374
8723	191	6762
205	54	143
